frame,action,pose,sheet,row,column,svg_file,png_file
01,walk,right foot begins forward,1,1,1,frames_svg/frame_01_walk_right_foot_begins_forward.svg,frames_png/frame_01_walk_right_foot_begins_forward.png
02,walk,right foot forward body lowered,1,1,2,frames_svg/frame_02_walk_right_foot_forward_body_lowered.svg,frames_png/frame_02_walk_right_foot_forward_body_lowered.png
03,walk,right foot planted passing pose,1,1,3,frames_svg/frame_03_walk_right_foot_planted_passing_pose.svg,frames_png/frame_03_walk_right_foot_planted_passing_pose.png
04,walk,left foot begins forward,1,1,4,frames_svg/frame_04_walk_left_foot_begins_forward.svg,frames_png/frame_04_walk_left_foot_begins_forward.png
05,walk,left foot forward,1,2,1,frames_svg/frame_05_walk_left_foot_forward.svg,frames_png/frame_05_walk_left_foot_forward.png
06,walk,left foot forward body lowered,1,2,2,frames_svg/frame_06_walk_left_foot_forward_body_lowered.svg,frames_png/frame_06_walk_left_foot_forward_body_lowered.png
07,walk,left foot planted passing pose,1,2,3,frames_svg/frame_07_walk_left_foot_planted_passing_pose.svg,frames_png/frame_07_walk_left_foot_planted_passing_pose.png
08,walk,right foot begins forward loop,1,2,4,frames_svg/frame_08_walk_right_foot_begins_forward_loop.svg,frames_png/frame_08_walk_right_foot_begins_forward_loop.png
09,idle,neutral,1,3,1,frames_svg/frame_09_idle_neutral.svg,frames_png/frame_09_idle_neutral.png
10,idle,subtle breathing rise,1,3,2,frames_svg/frame_10_idle_subtle_breathing_rise.svg,frames_png/frame_10_idle_subtle_breathing_rise.png
11,idle,blink beginning,1,3,3,frames_svg/frame_11_idle_blink_beginning.svg,frames_png/frame_11_idle_blink_beginning.png
12,idle,eyes closed blink,1,3,4,frames_svg/frame_12_idle_eyes_closed_blink.svg,frames_png/frame_12_idle_eyes_closed_blink.png
13,idle,eyes open head move,1,4,1,frames_svg/frame_13_idle_eyes_open_head_move.svg,frames_png/frame_13_idle_eyes_open_head_move.png
14,idle,return to neutral,1,4,2,frames_svg/frame_14_idle_return_to_neutral.svg,frames_png/frame_14_idle_return_to_neutral.png
15,thinking,attentive,1,4,3,frames_svg/frame_15_thinking_attentive.svg,frames_png/frame_15_thinking_attentive.png
16,thinking,look up thoughtful,1,4,4,frames_svg/frame_16_thinking_look_up_thoughtful.svg,frames_png/frame_16_thinking_look_up_thoughtful.png
17,thinking,chin gesture,2,1,1,frames_svg/frame_17_thinking_chin_gesture.svg,frames_png/frame_17_thinking_chin_gesture.png
18,thinking,thoughtful loop return,2,1,2,frames_svg/frame_18_thinking_thoughtful_loop_return.svg,frames_png/frame_18_thinking_thoughtful_loop_return.png
19,working,begin action,2,1,3,frames_svg/frame_19_working_begin_action.svg,frames_png/frame_19_working_begin_action.png
20,working,first tap,2,1,4,frames_svg/frame_20_working_first_tap.svg,frames_png/frame_20_working_first_tap.png
21,working,alternate tap,2,2,1,frames_svg/frame_21_working_alternate_tap.svg,frames_png/frame_21_working_alternate_tap.png
22,working,return loop,2,2,2,frames_svg/frame_22_working_return_loop.svg,frames_png/frame_22_working_return_loop.png
23,attention,notices user,2,2,3,frames_svg/frame_23_attention_notices_user.svg,frames_png/frame_23_attention_notices_user.png
24,attention,perks up,2,2,4,frames_svg/frame_24_attention_perks_up.svg,frames_png/frame_24_attention_perks_up.png
25,attention,raises hand,2,3,1,frames_svg/frame_25_attention_raises_hand.svg,frames_png/frame_25_attention_raises_hand.png
26,attention,attentive wait,2,3,2,frames_svg/frame_26_attention_attentive_wait.svg,frames_png/frame_26_attention_attentive_wait.png
27,success,realizes success,2,3,3,frames_svg/frame_27_success_realizes_success.svg,frames_png/frame_27_success_realizes_success.png
28,success,compact celebration,2,3,4,frames_svg/frame_28_success_compact_celebration.svg,frames_png/frame_28_success_compact_celebration.png
29,success,satisfied settle,2,4,1,frames_svg/frame_29_success_satisfied_settle.svg,frames_png/frame_29_success_satisfied_settle.png
30,sleep,curled asleep,2,4,2,frames_svg/frame_30_sleep_curled_asleep.svg,frames_png/frame_30_sleep_curled_asleep.png
31,sleep,breathing variation one,2,4,3,frames_svg/frame_31_sleep_breathing_variation_one.svg,frames_png/frame_31_sleep_breathing_variation_one.png
32,sleep,breathing variation two,2,4,4,frames_svg/frame_32_sleep_breathing_variation_two.svg,frames_png/frame_32_sleep_breathing_variation_two.png
